"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"307",7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7
"308",8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6
"309",5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
"310",5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8
"311",6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
"312",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
"313",8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,6
"314",7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5
"315",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
"316",7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,5
"317",6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,7
"318",7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5
"319",6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7
"320",5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,7
"321",6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5
"322",6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
"323",6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,6
"324",9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5
"325",7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5
"326",6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7
"327",5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3
"328",7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5
"329",6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4
"330",6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
"331",6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
"332",6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
"333",6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
"334",6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10,6
"335",6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7
"336",7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
"337",6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5
"338",7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5
"339",7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
"340",6.3,0.31,0.3,10,0.046,49,212,0.9962,3.74,0.55,11.9,6
"341",6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6
"342",6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,5
"343",6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6
"344",6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6
"345",7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
"346",6.9,0.44,0.27,5,0.038,33,166,0.99124,3.2,0.42,12.2,6
"347",9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5
"348",8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
"349",7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
"350",5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
"351",7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7
"352",6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5
"353",6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8
"354",7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,6
"355",6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6
"356",9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5
"357",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
"358",7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6
"359",7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5
"360",5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
"361",6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
"362",6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,6
"363",6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5
"364",7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5
"365",7.8,0.26,0.31,3.6,0.025,22,100,0.99066,2.99,0.47,12.1,7
"366",7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7
"367",7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5
"368",7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
"369",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
"370",6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
"371",8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6
"372",5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6
"373",8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6
"374",7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
"375",6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6
"376",6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6
"377",7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
"378",7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
"379",6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5
"380",6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
"381",7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
"382",5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4
"383",7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6
"384",7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,5
"385",9.4,0.3,0.32,10.7,0.029,14,111,0.9958,2.85,0.42,10.6,5
"386",7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6
"387",6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,6
"388",7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7
"389",6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5
"390",7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,7
"391",6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5
"392",5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
"393",8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
"394",8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6
"395",6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,5
"396",8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
"397",6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
"398",6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
"399",7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
"400",6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
"401",6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5
"402",6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
"403",6.5,0.28,0.27,5.2,0.04,44,179,0.9948,3.19,0.69,9.4,6
"404",5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6
"405",6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,6
"406",6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5
"407",9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5
"408",6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6
"409",7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5
"410",6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5
"411",7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,7
"412",6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
"413",7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
"414",6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
"415",6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5
"416",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
"417",6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
"418",8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,5
"419",7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6
"420",5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5
"421",6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,6
"422",6.8,0.32,0.23,3.3,0.026,31,99,0.9896,3.1,0.4,12.4,6
"423",5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,7
"424",7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7
"425",6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,6
"426",7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
"427",6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,6
"428",9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6
"429",7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
"430",8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5
"431",5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
"432",8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6
"433",7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7
"434",9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,3
"435",6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6
"436",6.1,0.24,0.32,9,0.031,41,134,0.99234,3.25,0.26,12.3,7
"437",7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6
"438",7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,7
"439",6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
"440",6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
"441",7.1,0.43,0.3,6.6,0.025,15,138,0.99126,3.18,0.46,12.6,6
"442",6.8,0.11,0.42,1.1,0.042,51,132,0.99059,3.18,0.74,11.3,7
"443",6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
"444",6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5
"445",7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
"446",6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,6
"447",7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
"448",5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5
"449",6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5
"450",7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
"451",7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,7
"452",6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2,7
"453",7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,5
"454",6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6
"455",8.8,0.23,0.35,10.7,0.04,26,183,0.9984,2.93,0.49,9.1,6
"456",6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7
"457",7.2,0.33,0.28,1.4,0.034,26,109,0.99246,3.28,0.57,10.6,6
"458",7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,6
"459",6.2,0.2,0.28,1.1,0.039,24,78,0.9899,3.36,0.47,12.1,6
"460",6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6
"461",6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6
"462",6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6
"463",7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6
"464",7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5
"465",6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,6
"466",5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,7
"467",6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6
"468",7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,5
"469",7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6
"470",7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,6
"471",6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6
"472",5.9,0.28,0.39,1.4,0.031,47,147,0.98836,3.08,0.64,12.9,7
"473",6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
"474",7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
"475",4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6
"476",6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,5
"477",7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6
"478",8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2,7
"479",7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,5
"480",5.7,0.31,0.29,7.3,0.05,33,143,0.99332,3.31,0.5,11.0666666666667,6
"481",7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5
"482",5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
"483",6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
"484",5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7
"485",6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
"486",6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,6
"487",9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
"488",8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6
"489",7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
"490",6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,6
"491",8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7
"492",7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6
"493",6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5
"494",6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7
"495",5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
"496",6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7
"497",6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6
"498",6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6
"499",6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
"500",8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6
"501",6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2,6
"502",6.6,0.16,0.35,1.8,0.042,26,105,0.98962,3.19,0.75,12.4,7
"503",6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5
"504",5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,5
"505",6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6
"506",9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,7
"507",6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6
"508",6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
"509",7.2,0.24,0.24,1.7,0.045,18,161,0.99196,3.25,0.53,11.2,6
"510",5.5,0.31,0.29,3,0.027,16,102,0.99067,3.23,0.56,11.2,6
"511",7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,6
"512",7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6
"513",6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6
"514",8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5
"515",8.1,0.22,0.28,7.7,0.043,57,176,0.9954,3.12,0.55,10,5
"516",7.9,0.3,0.6,1.85,0.048,13,106,0.99331,3.24,0.49,11.85,5
"517",7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,5
"518",8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6
"519",6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,6
"520",6.4,0.28,0.28,3,0.04,19,98,0.99216,3.25,0.47,11.1,6
"521",6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
"522",6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7
"523",7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,8
"524",6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6
"525",7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7
"526",5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4
"527",6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
"528",7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6
"529",6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,6
"530",6.3,0.22,0.28,2.4,0.042,38,102,0.98998,3.14,0.37,11.6,7
"531",6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6
"532",6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5
"533",6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
"534",7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
"535",6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6
"536",6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6
"537",6.8,0.24,0.35,6.4,0.048,44,172,0.9944,3.29,0.55,10.5,7
"538",6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
"539",6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6
"540",7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6
"541",7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,5
"542",6.4,0.38,0.19,4.5,0.038,36,119,0.99151,3.07,0.42,11.2,6
"543",6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
"544",7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6
"545",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
"546",7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,6
"547",6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,6
"548",5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7,7
"549",6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6
"550",6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,5
"551",6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7
"552",7.4,0.26,0.32,3.7,0.032,29,193,0.99134,3.1,0.67,12.5,6
"553",6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6
"554",6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,7
"555",8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6
"556",5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
"557",6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4
"558",7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
"559",6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
"560",5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5
"561",6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,7
"562",6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5
"563",5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7
"564",6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5
"565",6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,6
"566",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
"567",6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,5
"568",7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5
"569",7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
"570",6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,7
"571",7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
"572",6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6
"573",6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
"574",8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6
"575",7,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7
"576",7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7
"577",6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6
"578",7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
"579",8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
"580",6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6
"581",6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
"582",6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6
"583",8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6
"584",6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,6
"585",6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7
"586",6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,6
"587",5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6
"588",5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,7
"589",5.9,0.44,0.36,2.5,0.03,12,73,0.99201,3.22,0.48,10.8,6
"590",6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7
"591",7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
"592",7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7
"593",6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6
"594",7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6
"595",8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5
"596",6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,7
"597",6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5
"598",6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
"599",7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
"600",6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
"601",8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2,5
"602",5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7
"603",7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
"604",7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7
"605",6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5
"606",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"607",6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6
"608",4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5
"609",5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6
"610",7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
"611",8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,6
"612",5.7,0.24,0.3,1.3,0.03,25,98,0.98968,3.37,0.43,12.4,7
"613",7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
